No,企業名,主要三品目①,主要三品目②,主要三品目③,企業HP
148,株式会社中遠熱処理技研,浸炭・浸炭窒化・焼入れ・ガス軟窒化・真空熱処理,連続光輝焼準・焼鈍,アルミ熱処理,https://www.nc-net.or.jp//company/92061/
149,株式会社トーテック,錫めっき,錫 - 銀　合金めっき,貴金属めっき,https://www.nc-net.or.jp//company/47624/
150,株式会社呉匠,金属・樹脂の切削加工、試作部品の製作,曲げ型・検査治具・装置の設計・製作,自動車ドア開閉総合検査具の設計製作、原発廃炉ロボットの部品、各種工作機械、搬送機などの精密部品の製作,https://www.nc-net.or.jp//company/91777/
151,株式会社佐文工業所,ミシン部品,医療機器部品,切削、研削加工部品,https://www.nc-net.or.jp//company/89122/
152,秋山精鋼株式会社,精密機械、電子機器の特殊鋼の2次加工品,快削鋼、ステンレス鋼、中炭素鋼、高炭素鋼,非鉄金属研磨（自動盤で主に使用されるバー・コイル製品）,https://www.nc-net.or.jp//company/90245/
153,"Manufacture Overhaul Rapid and Optimal Co., Ltd.",機械修理・オーバーホール・予防保全・改造,オートメーション、冶具、専用機、装置の設計・製作,特殊な機械の販売・設置・アフターサービス,https://www.nc-net.or.jp//company/94274/
154,株式会社羽根田商会,外国産及国産品の機械、工具の輸入及販売,外国産及国産特殊鋼の輸入及販売,各種セラミック製品の製作及び各種表面処理の請負,https://www.nc-net.or.jp//company/77159/
155,株式会社有吉商店名古屋本社工場,国内、海外フレコンの自社製造、直販　各種(食品、化学、帯電防止、産廃用等）全てに対応、一回使用の通いフレコンに必要なコストカットにも対応,3R対応フレコン自立スタンド（既製フレコンにも対応。どんな希望サイズでも製造致します。,各種中古フレコン販売、メンテナンス,https://www.nc-net.or.jp//company/79715/
156,株式会社阪井金属製作所,海外調達部品,切削加工製品,板金加工品,https://www.nc-net.or.jp//company/74667/
157,キョーワ・システム株式会社,中小企業向けコンサルティングサービス,外国人 人材紹介業務,日本人　海外事業経験者紹介業務,https://www.nc-net.or.jp//company/91684/
158,横尾精密工業株式会社,HDD部品製造,精密部品製造,光学部品製造,https://www.nc-net.or.jp//company/47343/
159,有限会社クリタ,時計部品(樹脂メッキ、金属)等、目視検査,電気製品組立・梱包・メンテナンス,時計・カメラ部品、配管器具等の色埋め、色入れ,https://www.nc-net.or.jp//company/78867/
160,株式会社テクノス,プラスチック金型製作,金型部品製作,時計・カメラ部品、配管器具等の色埋め、色入れ,https://www.nc-net.or.jp//company/78495/
161,櫻井精密工業株式会社,通信関連精密部品加工,医療機器部品加工,OA機器部品加工,https://www.nc-net.or.jp//company/72894/
162,株式会社渋谷製作所埼玉工場,"金型設計製作,主に400トン程度までのPRG型、社内生産型、海外向け金型設計、製作","自動車部品プレス,組立",暖房部品(ストーブ)部品製造、シ―ム溶接を主体としたASSY,https://www.nc-net.or.jp//company/1181/
163,株式会社飯塚鉄工所,ポンプ・バルブ部品の加工から組立,医療機器部品の加工,その他一般機械部品の加工,https://www.nc-net.or.jp//company/75646/
164,フジプラスチック工業株式会社,精密プラスチック金型設計製作,精密プラスチック成形品,金型部品・治具,https://www.nc-net.or.jp//company/46050/
165,株式会社Ring,精密順送プレス・プラスチック金型製造,精密プレス・インサート成形加工・精密プラスチック成形加工,精密金型部品・電子部品製造販売,https://www.nc-net.or.jp//company/74665/
166,株式会社桶谷製作所,五面加工,大型マシニング(高速アルミ加工),OK,https://www.nc-net.or.jp//company/72246/
167,株式会社菊和,自動車用ダイカスト鋳造加工,精密ダイカスト鋳造加工,建築金物用ダイカスト鋳造加工,https://www.nc-net.or.jp//company/47328/
168,スギヤマ技研株式会社,電子機器(電卓、携帯、プリンター、デジカメ、DVD等),熱流体解析、構造解析,試作製作、少ロット（１００個以内）製造、海外生産請負,https://www.nc-net.or.jp//company/78769/
169,伸和工材株式会社,①「成型機用断熱板」「金型断熱板」の「NCルーター」及び「マシニング」による図面加工。 更には、ご要望に応じ 「 板厚精度 」 の要求にも、おこたえしています。,②生産ラインで使用される工業用途の ヒーター 及び 電気炉 の「断熱材」や、センサー等 機器を 遮熱保護 するための「断熱材」を 数は一つから図面加工致します。,③紙ベーク・布ベーク・エポキシガラス・シリコンガラスの「薄物」の「絶縁材」について切削加工から抜物加工まで承っております。,https://www.nc-net.or.jp//company/79043/
170,扶桑鋼管株式会社,特殊鋼鋼管全般,鋼管素材の加工,鋼管周辺製品の輸出入,https://www.nc-net.or.jp//company/68449/
171,株式会社ヨシテック,部材加工（レーザ切断・ブレーキプレス曲げ・ロールベンディング曲げ）,製作（製缶・機械加工・塗装・組立）,海外調達（韓国・中国）,https://www.nc-net.or.jp//company/75946/
172,株式会社マテリアル,材料販売,機械加工製品,光造形,https://www.nc-net.or.jp//company/76866/
173,株式会社サクセス,精密機械加工部品,機械加工製品,光造形,https://www.nc-net.or.jp//company/71169/
174,株式会社ビワ化工,射出成形品,発泡成形品,光造形,https://www.nc-net.or.jp//company/68974/
175,平田化工株式会社,射出成形(可)精密プラスチック製品製造,射出成形(硬)精密プラスチック製品製造,同上、金型設計、製作,https://www.nc-net.or.jp//company/29091/
176,株式会社生生製作所,各種自動機　設計製作,精密部品（少量多品種から量産）,樹脂成型,https://www.nc-net.or.jp//company/87814/
177,大誠精機株式会社,液晶パネル、ディスプレイ関連部品,半導体関連部品,樹脂成型,https://www.nc-net.or.jp//company/72533/
178,朝日株式会社,"各種小家電製品：ヘッドホン,LEDライト、短波ラジオ",精密機械加工、樹脂製品、金型,国際貿易,https://www.nc-net.or.jp//company/84259/
179,株式会社姫路鍍金工業所,アルミ、銅上への無電解ニッケル,亜鉛めっき,新技術　ナノ粒子めっき法,https://www.nc-net.or.jp//company/69708/
180,甲府精鋲株式会社,特殊冷間圧造加工部品,M1.0以下のミニチュアねじ,オリジナルねじ供給機,https://www.nc-net.or.jp//company/46123/
181,クローバー電子株式会社,ECR,POS周辺機器,プリンター付き電卓,https://www.nc-net.or.jp//company/87424/
182,株式会社さくら電子,電子機器開発（ハード・ソフト開発）から完成品まで。電子回路設計,プリント基板設計・基板試作・基板実装・ハーネス・ケーブル,LED安全ベストなどの安全商品の販売・熱中症対策商品の販売,https://www.nc-net.or.jp//company/63031/
183,株式会社多加良製作所,精密インサート成形品　及び　同金型,精密プレス品、射出成形品　及び　同金型,半導体用トランスファ金型、装置,https://www.nc-net.or.jp//company/77267/
184,コトブキテクレックス株式会社,塔槽、熱交換器等の圧力容器の設計、製作、メンテナンス、現場工事。石油、化学工場の熱交換器リチュービング工事。,食品、飲料、酒類、バイオ、医薬、樹脂コンパウンド等向けのサニタリー、粉体機器の設計、製作、メンテナンス、現場工事。,チタン、ニッケル合金、クラッド鋼を用いた化学機械の設計、製作、メンテナンス、現場工事。,https://www.nc-net.or.jp//company/82082/
185,株式会社メクウエル,中・大型部品加工,海外調達(素材、製品とも),チタン、ニッケル合金、クラッド鋼を用いた化学機械の設計、製作、メンテナンス、現場工事。,https://www.nc-net.or.jp//company/69178/
186,東英工業株式会社,海外受託生産,電子機器量産,精密機器量産,https://www.nc-net.or.jp//company/84494/
187,日正電計株式会社,半導体関連製品の検査,クリーンルーム関連製品の海外調達,その他電気製品検査,https://www.nc-net.or.jp//company/12429/
188,有限会社日成工業,トロイダルチョークコイル,電源、高周波トランス,海外製造品等の受入、出荷検査、包装,https://www.nc-net.or.jp//company/59883/
189,株式会社作石製作所小牧工場,プラスチック・ダイカスト金型設計・製作,MC加工,海外発注代行・メンテナンス,https://www.nc-net.or.jp//company/76822/
190,ジャパントゥエンティワン株式会社,海外の特殊ソフトウエア提供,商品企画・販売企画,自動車の後付衝突警報装置の卸・販売,https://www.nc-net.or.jp//company/47293/
191,株式会社エムアイモルデ,自動車部品射出成形金型（ドアトリム、フロントピラー、センターパネル、スピーカグリル＜樹脂パンチング金型、樹脂メッシュ金型＞などのオーディオ関連部品等）,各種試作暫定工法対応,海外調達・海外メンテ,https://www.nc-net.or.jp//company/63719/
192,株式会社成和,建築金物、オリジナル製品の設計、製作、施工,高品質量品、海外調達,金属工事、エクステリア工事,https://www.nc-net.or.jp//company/74929/
193,大網梱包株式会社,国内＆海外向け梱包（木枠梱包、木箱梱包、強化段ボール梱包）,物流業務（保管・物流加工・輸送）,資材販売（梱包・包装に関わる資材全般）,https://www.nc-net.or.jp//company/88514/
194,福助機工株式会社,製缶機械加工,3次元加工,搬送装置,https://www.nc-net.or.jp//company/5354/
195,株式会社オーバル,機械,非鉄金属加工機,非鉄金属部品,https://www.nc-net.or.jp//company/87132/
196,株式会社益岡製作所,O-リング,ゴム成型品,ゴム焼き付け商品,https://www.nc-net.or.jp//company/72922/
197,株式会社光佐,3次元測定　ATOSを使用したリバースエンジニアリング・製品測定・STLデータ作製・CAE解析,海外産（韓国・中国など）の金型の補正(玉成・熟成・修正)・メンテナンス,新規プレス金型の設計・製作,https://www.nc-net.or.jp//company/80052/
198,Mehul Industries,3次元測定　ATOSを使用したリバースエンジニアリング・製品測定・STLデータ作製・CAE解析,海外産（韓国・中国など）の金型の補正(玉成・熟成・修正)・メンテナンス,新規プレス金型の設計・製作,https://www.nc-net.or.jp//company/86895/
199,有限会社人力車,機械加工部品,鋳物,金型,https://www.nc-net.or.jp//company/89456/
200,株式会社創和技研工業,展示会用品,ディスプレイ,各種パーツ,https://www.nc-net.or.jp//company/73281/
201,Pilot Techno Cast,展示会用品,ディスプレイ,各種パーツ,https://www.nc-net.or.jp//company/86745/
202,谷振股分有限会社,半導体設備・自動化設備・医療関連装置等のカバー、ボックス、フレーム、筐体、板金パーツ等,精密板金の設計から加工、組立、梱包出荷まで社内一貫生産をしております。小ロットから量産まで承っております。,日本語話せるスタッフが数名在籍！海外取引実績あり,https://www.nc-net.or.jp//company/92509/
203,株式会社ナガオエンジニアリング,プレス機械及び周辺装置、工作機械のエンジニアリング,ロボット及び送り装置,修理、電気関連の近代化,https://www.nc-net.or.jp//company/63685/
204,株式会社 沼省,1. 自動金型、特にトランスファ金型 。丸物、精密絞り用金型が得意,2. プレス周辺の省力化装置、特にトランスファユニット、プレスを中心としたトータルシステム,3. 海外向けプレス関連のトータルシステムの納入実績多数有り。,https://www.nc-net.or.jp//company/68468/
205,Arrowfill Pack Machinery,1. 自動金型、特にトランスファ金型 。丸物、精密絞り用金型が得意,2. プレス周辺の省力化装置、特にトランスファユニット、プレスを中心としたトータルシステム,3. 海外向けプレス関連のトータルシステムの納入実績多数有り。,https://www.nc-net.or.jp//company/87020/
206,Pratham Hydraulics,1. 自動金型、特にトランスファ金型 。丸物、精密絞り用金型が得意,2. プレス周辺の省力化装置、特にトランスファユニット、プレスを中心としたトータルシステム,3. 海外向けプレス関連のトータルシステムの納入実績多数有り。,https://www.nc-net.or.jp//company/87016/
207,有限会社イデアブレーン,薄肉射出成形加工全般/精密射出成形金型製造/海外生産,2. プレス周辺の省力化装置、特にトランスファユニット、プレスを中心としたトータルシステム,3. 海外向けプレス関連のトータルシステムの納入実績多数有り。,https://www.nc-net.or.jp//company/84703/
208,株式会社中央ハイテック,精密プラスチック金型設計・製作,精密プラスチック射出成形・組立,つり用品開発販売,https://www.nc-net.or.jp//company/91545/
209,エーピーエヌ株式会社,基板設計,基板製造・実装,開発支援,https://www.nc-net.or.jp//company/45982/
210,ユニテック工業株式会社,電動シリンダー、ジャッキ、同調シリンダ,油圧リフタ、油圧式トラック傾斜角装置,計量機械、省力化機械,https://www.nc-net.or.jp//company/93541/
211,有限会社ヨシカワ,油圧部品製造,海外旅行対応プラグアダプター,ラジコンパーツ、ラジコンエンジン,https://www.nc-net.or.jp//company/84295/
212,株式会社アイティシー,メタルコア基板・FPC販売,PCB・FPC設計製作組立,海外PCBメーカーの代理(輸出入),https://www.nc-net.or.jp//company/29123/
213,協立精工株式会社,精密小型モーター部品,ブルーレイ用光学ピックアップ部品,半導体用パワートランジスタ部品,https://www.nc-net.or.jp//company/89363/
214,ＬＫツーリングデザイン,高速精密プレス金型設計,順送金型設計,金型部品及びプレス部品の海外調達,https://www.nc-net.or.jp//company/78024/
215,福山合成株式会社,自動車用ランプ部品、自動車内外装部品、住宅用分電盤部品,医療用機器部品、弱電用部品、,農業資材、家庭用雑貨品etc,https://www.nc-net.or.jp//company/93340/
216,Desai Coatings Industries,自動車用ランプ部品、自動車内外装部品、住宅用分電盤部品,医療用機器部品、弱電用部品、,農業資材、家庭用雑貨品etc,https://www.nc-net.or.jp//company/86980/
217,株式会社アキオカ,鋳造,鋳鉄,ダクタイル鋳鉄,https://www.nc-net.or.jp//company/80125/
218,株式会社ケイケイ,射出成形,金型設計・製作,組立,https://www.nc-net.or.jp//company/79968/
219,株式会社エス・アイ・エンジニアリング,プラスチック金型設計,プラスチック金型製造,射出成形,https://www.nc-net.or.jp//company/47884/
220,大正精機工業株式会社,自動車関係,ＯＡ機器,工業製品,https://www.nc-net.or.jp//company/5587/
221,株式会社制電社,各種制御盤/操作盤の設計及び製作、現地SV、ソフト開発,印刷機・紙工機械・交通システム・航空輸送機器・排水処理設備・塗装設備・造船,粉体設備・発電設備 ・産業機械設備,https://www.nc-net.or.jp//company/93574/
222,株式会社 プラネックス名古屋営業所,簡易型などの射出成形試作,3Dﾌﾟﾘﾝﾀｰ造形、光造形、ナイロン造形,切削加工品,https://www.nc-net.or.jp//company/73857/
223,フェザーフィールド株式会社,FRP部品・製品の設計・製作,樹脂成型・ゴム成型・木型製作,金属加工・各種メッキ,https://www.nc-net.or.jp//company/76983/
224,株式会社松下製作所,精密プレス金型・及びプレス加工、治工具設計・製作,精密プレス部品加工(電子機器部品、OA機器部品、自動車制御部品),海外生産・コイルバネ始めました！,https://www.nc-net.or.jp//company/34385/
225,三友精機株式会社,プラスチック射出成形金型,精密部品加工,ダイカスト金型,https://www.nc-net.or.jp//company/21369/
226,三和テック株式会社,産業用ポンプ・バルブ部品,医療機器用部品,自動車用 　部品,https://www.nc-net.or.jp//company/88732/
227,フルタニモールディング株式会社,・自動車部品用金型をはじめとする各種産業用ゴム射出成形金型、各種産業用樹脂射出成形金型（主にマツダ、トヨタ自動車、ホンダ向け）,・自動車部品およびスポーツ用品をはじめとする各種産業用樹脂射出成形品,株式会社ニフコ,https://www.nc-net.or.jp//company/93371/
228,タカオ株式会社,公園施設(公園遊具、学校・幼稚・保育園遊具、運動遊具、健康遊具、野球場製品 等) ,景観施設(シェルター、パーゴラ、ベンチ、時計塔、車止め、展望台、トイレ 等) ,商業施設(サイン、モニュメント、デッキ、レプリカ、室内遊具 等) ,https://www.nc-net.or.jp//company/87216/
229,日本モリマー株式会社,住宅設備・建材(浴室・洗面部材、外装建材),販促（SP)製品・キャラクターグッズ,屋内外用ベンチ・椅子,https://www.nc-net.or.jp//company/5500/
230,IDEA TECHNOLOGY （低コストのCAD図面作成支援専門企業）,"低コストで２D,3DCADより3次元モデリング、３Dモデリング、3Dモデル、トレース、部品バラシ",格安の部品切削加工、設備製造受託,海外のベトナムでのモノ作り支援,https://www.nc-net.or.jp//company/84595/
231,武田工業有限会社,PRG型,深絞型,金型純正部品,https://www.nc-net.or.jp//company/83637/
232,有限会社オガワデザインシステム,Pro/Eによるプラスチック製品設計,3次元データによる試作製作,工業デザイン,https://www.nc-net.or.jp//company/70719/
233,北総システムズ有限会社,ハンドプレス（K-02シリーズ）,ハンドプレス（JO-50）,エアープレス（FR-200型/FR-500型,https://www.nc-net.or.jp//company/85901/
234,株式会社 松坂電機製作所,インサート成形品・光学成形品,電子部品,売金型・試作品,https://www.nc-net.or.jp//company/50564/
235,株式会社ユーシン,専用機の設計、部品加工、組立、配線、調整、据付までの一貫製作　及び　専用機、冶工具の部品加工,専用機、冶工具の部品加工　及び　専用機、冶工具の構想・機構設計、制御設計,自社海外生産工場（フィリピン、中国）,https://www.nc-net.or.jp//company/70594/
236,CTWEL（シー・ティー・ウェル株式会社）,"車・バイクの部品, 鉄構造物, 造船関連の部品、セメント工場の設備、水力発電所の設備, 圧力の容器, 電気のボックスとパネル、",CNCソフトウェア、造船設計ソフト,AWS規格による溶接技師の養成とその技師の海外への派遣,https://www.nc-net.or.jp//company/84606/
237,有限会社コスモプラスチック工業,各種樹脂による塔　・　槽、耐食部品　テフロン溶接部品,理化学関係実験機器・半導体関連筐体、槽加工・耐食パイプユニット,旋盤・フライス等切削、溶接、組み立加工、修理,https://www.nc-net.or.jp//company/81861/
238,日新電装株式会社,電源装置製造,周波数変換装置製造,旋盤・フライス等切削、溶接、組み立加工、修理,https://www.nc-net.or.jp//company/76699/
239,株式会社 Co khi dien Long Giang,電気ボックス,カバー,ケープルトレイ,https://www.nc-net.or.jp//company/85274/
240,株式会社Nhom Song Hong,シャッター,自動車部品,ケープルトレイ,https://www.nc-net.or.jp//company/88423/
241,魚岸精機工業株式会社,自動車用大型ダイカスト金型,鋳鍛造金型,ホイール金型,https://www.nc-net.or.jp//company/3039/
242,安田精工株式会社,順送プレス金型設計・製作,トランスファープレス金型設計・製作,電子部品金型設計・製作,https://www.nc-net.or.jp//company/39079/
243,有限会社三森興産,鉄屑加工処理,鉄リサイクル,スクラップ買取,https://www.nc-net.or.jp//company/80437/
244,日東化工機株式会社,環境装置(脱臭装置、排ガス洗浄装置),集塵装置、耐食装置、機器類、製缶、板金,各種ライニング工事、PVC、FRPその他設計製作品,https://www.nc-net.or.jp//company/74187/
245,株式会社Nhua Dong Nai,樹脂パイプ,マッチ,各種ライニング工事、PVC、FRPその他設計製作品,https://www.nc-net.or.jp//company/88620/
246,株式会社 MTV Tam Huu,鍛造品、熱処理,マッチ,各種ライニング工事、PVC、FRPその他設計製作品,https://www.nc-net.or.jp//company/87775/
247,Aqua Care RO Systems,鍛造品、熱処理,マッチ,各種ライニング工事、PVC、FRPその他設計製作品,https://www.nc-net.or.jp//company/86912/
248,マツイ電子株式会社,プリント基板　部品実装,プリント基板　パターン設計,プリント基板　基板製造,https://www.nc-net.or.jp//company/93831/
249,株式会社大成金属工業所,《材料調達》国内材だけでなく海外ではPOSCO材や良質な中国材を独自のルートで一括仕入れしておりますので、うまくはまれば国内市価の6割ほどの値段で調達可能。,《機械加工・溶接製罐》300～500mmの小型の加工から5mクラスのターニングなど各種機械加工に対応。当社では優秀なケガキ職人を有するため、穴あけなどは他社の約半額で見積もりが可能です。,プリント基板　基板製造,https://www.nc-net.or.jp//company/87256/
250,タカギテクノ株式会社（旧社名：高木照明工業）,精密板金加工,YAGレーザー溶接,ステンレス板金部品,https://www.nc-net.or.jp//company/69302/
251,チハラ産業株式会社,各種鋼材販売,各種工作機械販売,ステンレス板金部品,https://www.nc-net.or.jp//company/79063/
252,株式会社カイバラ本社工場,各種ブッシュ,各種油圧部品,各種ウォームホイル,https://www.nc-net.or.jp//company/80700/
253,株式会社 FAST（ファスト）,プラスチック金型　設計　製作　試作成形,各種油圧部品,各種ウォームホイル,https://www.nc-net.or.jp//company/5084/
254,東葛樹脂工業株式会社本社工場,精密規格歯車,合成樹脂射出成形,金型の設計・製作,https://www.nc-net.or.jp//company/62388/
255,田中軽工業株式会社,パイプ・板金加工,ロボット溶接,金型・治具,https://www.nc-net.or.jp//company/60364/
256,有光工業股分有限公司,板金,溶接,塗装,https://www.nc-net.or.jp//company/71466/
257,奥瑪電子廠中国工場,防犯機器、環境機器製造,"電子部品製造,組立",基板実装、ワイヤーボンディング、ＳＭＴ,https://www.nc-net.or.jp//company/72784/
258,旭電機設備工業株式会社,自動制御装置設計・製作,制御盤設計・製作,各種ハーネス・プラント設計・電装工事・調整,https://www.nc-net.or.jp//company/80875/
259,Extreme Automation,自動制御装置設計・製作,制御盤設計・製作,各種ハーネス・プラント設計・電装工事・調整,https://www.nc-net.or.jp//company/86852/
260,ハマサン株式会社,溶接用機械器具,制御盤設計・製作,各種ハーネス・プラント設計・電装工事・調整,https://www.nc-net.or.jp//company/80627/
261,有限会社Bao bi xuat khau va thuong mai Van Thanh,段ボール,制御盤設計・製作,各種ハーネス・プラント設計・電装工事・調整,https://www.nc-net.or.jp//company/88566/
262,有限会社Thuong mai va San xuat Hung Long Lang Son,スイッチ,制御盤設計・製作,各種ハーネス・プラント設計・電装工事・調整,https://www.nc-net.or.jp//company/88471/
263,山陽精工株式会社医療機器事業,設計・製造受託サービス,制御盤設計・製作,各種ハーネス・プラント設計・電装工事・調整,https://www.nc-net.or.jp//company/94391/
264,宏明技研有限会社,熱可塑プラスチック部品製造・組み立て,プラスチック超音波溶着製品製造・組み立て,熱硬化プラスチック製品(FRP)製造,https://www.nc-net.or.jp//company/46746/
265,イトコー株式会社,ステンレス・チタン鋳鋼品,耐熱鋳鋼品,各種特殊合金鋳鋼品,https://www.nc-net.or.jp//company/46070/
266,ソーラー工業株式会社,プラスチック金型設計,プラスチック金型製造,プラスチック射出成形試作,https://www.nc-net.or.jp//company/78201/
267,桃原金型工作所,精密工業部品の樹脂金型,医療関係の樹脂金型,金型修理,https://www.nc-net.or.jp//company/65026/
268,フジハツ工業株式会社,金属製品製造・組立,医療関係の樹脂金型,金型修理,https://www.nc-net.or.jp//company/80873/
269,中島ノズル株式会社,制御装置(ガバナー),ディーゼル用燃料噴射装置,水槽用温度制御装置,https://www.nc-net.or.jp//company/46760/
270,株式会社オークコーポレーション,精密機械等梱包,車両梱包,木箱作成・組立,https://www.nc-net.or.jp//company/69689/
271,上海六藏貿易有限公司,炭化水素系洗浄剤,グリコール系洗浄剤,超音波洗浄機,https://www.nc-net.or.jp//company/85615/
272,福井精機工業,ベアリング樹脂リテーナー（保持器）,インサート樹脂部品（ステアリング、ステーター関係）,オイルが自動的に染み出す固形潤滑剤,https://www.nc-net.or.jp//company/89648/
273,三信金属株式会社,ステンレス、チタン、アルミ、その他非鉄金属（棒、線、板、帯、パイプ、異形等）,切削部品加工,各種金属材料の貿易取引（輸出入、三国間）,https://www.nc-net.or.jp//company/47816/
274,"イーシェン精密/YI-XUAN PRECISION CO.,LTD.",インサートナット（斜目・アヤメなど各種ローレットや、つばありも可能）,クリンチングファスナー（ナット・スペーサーなど）,真鍮・アルミ・ステンレスなどの各種切削品,https://www.nc-net.or.jp//company/90982/
275,グロービアインターナショナル株式会社,glovia G2,クリンチングファスナー（ナット・スペーサーなど）,真鍮・アルミ・ステンレスなどの各種切削品,https://www.nc-net.or.jp//company/84742/
276,株式会社光金型製作所,プラスチック射出成型用金型,機械加工部品,小ロットプラスチック成型品,https://www.nc-net.or.jp//company/65857/
277,株式会社大和三光製作所,工業用乾燥機製造,汚泥焼却設備製造,熱処理装置製造,https://www.nc-net.or.jp//company/35813/
278,岐阜精器工業株式会社,精密深絞り加工/プレス金型,マシニング/旋盤加工,精密板金/MIM/樹脂加工.etc,https://www.nc-net.or.jp//company/94416/
279,株式会社和模型工房,■建築・機械・土木・プラント・設備等模型,機械・プラント模型製作,建築模型製作,https://www.nc-net.or.jp//company/89087/
280,トーケン樹脂化学株式会社,化学品製造業,機械・プラント模型製作,建築模型製作,https://www.nc-net.or.jp//company/94140/
281,"THAI CASTING PRODUCT CO.,LTD.",製鉄所,機械・プラント模型製作,建築模型製作,https://www.nc-net.or.jp//company/95323/
282,三金螺子工業株式会社,冷間鍛造・熱間鍛造・パイプ類,機械・プラント模型製作,建築模型製作,https://www.nc-net.or.jp//company/92517/
283,ユニオン電機株式会社,抵抗溶接機、スポット溶接機、ヒュージング溶接機、バット溶接機、コンパクティング溶接機、,自動機・省力機械、溶接トランス、タングステン、電極研磨機、ストランドワイヤ、ジャンパー線,電極材料（アルミナ分散強化銅・タングステン・モリブデンなど）,https://www.nc-net.or.jp//company/92097/
284,日本電産コパル株式会社,カメラ用シャッター　モーター　部品,自動機・省力機械、溶接トランス、タングステン、電極研磨機、ストランドワイヤ、ジャンパー線,電極材料（アルミナ分散強化銅・タングステン・モリブデンなど）,https://www.nc-net.or.jp//company/87426/
285,株式会社深井製作所,embrella®（エンブレラ）,自動車用プレス部品,金型、設備、治具,https://www.nc-net.or.jp//company/89709/
286,武杉製作所,ロストワックス加工,精密鋳造,チタン合金加工,https://www.nc-net.or.jp//company/94383/
287,CBC AB PRECISION,射出成形金型の設計・製作・改造・メンテナンス,精密金型パーツ製作、金属パーツの製作、加工,プラスチック射出成形品量産成形,https://www.nc-net.or.jp//company/94278/
288,株式会社トーコー技研,プレス金型、プレス部品加工、試作・レーザー加工、自動車用部品,深絞り金型（薄板・厚板）、トランスファー型、順送型,バフ研磨、アルマイト、アッセンブリ,https://www.nc-net.or.jp//company/72187/
289,株式会社和田製作所,バスバー等銅の電気部品（パワエレ・EV車等）,深絞り加工、精密プレス加工全般、切削加工,BOX等の板金溶接,https://www.nc-net.or.jp//company/71673/
290,株式会社ナノソフト,3DQuickPress（プレス金型設計ソフトウェア）,IMOLD（プラスチック金型設計ソフトウェア）,3DQuickForm（プレス製品ブランク展開シミュレーション）,https://www.nc-net.or.jp//company/84773/
291,KYOSEI FACTORY,金属箔へのケミカルフォトエッチング加工　(銅合金・ステンレス・その他・金属素材全般),金属部品への塗装・めっき・各種表面処理　(電解研磨・化学研磨・拡散接合品),半導体関連ユニオンシリーズ製品の輸入販売、ITC商社機能,https://www.nc-net.or.jp//company/88715/
292,株式会社ティエフティ,プリント基板,プリント基板実装,半導体関連ユニオンシリーズ製品の輸入販売、ITC商社機能,https://www.nc-net.or.jp//company/87223/
293,岩谷マテリアル株式会社,耐熱性に優れた特殊アルマイト処理,硬さと離形性を備えた皮膜処理,樹脂コーティング,https://www.nc-net.or.jp//company/87221/
294,株式会社 CGTech,NCシミュレーションソフトウェア　VERICUT（ベリカット）,硬さと離形性を備えた皮膜処理,樹脂コーティング,https://www.nc-net.or.jp//company/30011/
295,"Meesinsup Technology Co., Ltd.",電子回路基板を組み立てています,硬さと離形性を備えた皮膜処理,樹脂コーティング,https://www.nc-net.or.jp//company/95274/
296,株式会社ムラキ,精密切削加工,コネクター部品,HDD部品,https://www.nc-net.or.jp//company/47034/
297,株式会社阪口製作所,自動車安全部品,コネクター部品,HDD部品,https://www.nc-net.or.jp//company/69346/
298,Varuney Mfg. Industries,自動車安全部品,コネクター部品,HDD部品,https://www.nc-net.or.jp//company/87017/
299,聯合科技発展有限公司祈福新村工場,冷蔵庫,電子レンジ,洗濯機,https://www.nc-net.or.jp//company/74564/
300,雅コンフェクト,機械部品全般,電子レンジ,洗濯機,https://www.nc-net.or.jp//company/78391/
301,日本羽毛製造株式会社,羽毛ふとん,ダウンパック,カバー類,https://www.nc-net.or.jp//company/46426/
302,株式会社美光技研,スピン仕上げ・ヘアライン仕上げ・スピンライン仕上げ,お客様オリジナル研磨模様,デザインスピン仕上げ・デザインヘアライン仕上げ,https://www.nc-net.or.jp//company/94630/
303,SMC株式会社,空気圧制御システム,お客様オリジナル研磨模様,デザインスピン仕上げ・デザインヘアライン仕上げ,https://www.nc-net.or.jp//company/83730/
304,SHIVA ENGINEERING CO.,空気圧制御システム,お客様オリジナル研磨模様,デザインスピン仕上げ・デザインヘアライン仕上げ,https://www.nc-net.or.jp//company/86764/
305,株式会社藤電気 （FRP、樹脂、配線ASSYの専門企業）,素材部門 （熱硬化性樹脂、熱可塑性樹脂、電線・チューブ）,加工部門（電機機器・開閉器・溶接機・床下機器向け絶縁部品、FRPクリート、メッキ槽関連、耐薬品絶縁部品、電設用、半導体関連）,ASSY部門（面状ヒーター、洗面化粧台防雲ヒーター、温室用ヒーター、キッチン用配線部品、洗面化粧台用配線部品、電機機器用配線部品、バッテリーフォークリフト向け充電プラグ）,https://www.nc-net.or.jp//company/95405/
306,富士岐工産株式会社北九州工場,管構造物　設計・製作・据付,圧力容器　設計・製作・据付,各種溶射加工,https://www.nc-net.or.jp//company/48619/
307,日進精機株式会社,精密順送プレス量産部品と金型,リフレックス・リフレクター成形品と金型,CNCフリーフォームパイプベンダー,https://www.nc-net.or.jp//company/1285/
